empresa,codigoarticulo,codigoparticular,articulo,rubro,costo,preciopublico,marca,superrubro,gruposuperrubro,familia,ult_fechaingreso,color,silueta,sitioparapublicar,porcentajedescuento,web
Emp1,162,082198012-2,Botines de Fútbol Adidas Yellow,Running,$617585.54,$617585.54,Adidas,Mujer,General,Q2 24,14/4/2024,Yellow,Calzado,,,
Emp2,163,416594853-5,Pantalón Deportivo Nike Pink,Moda,$681203.98,$681203.98,Nike,Mujer,General,Q3 24,10/4/2024,Pink,Pantalon,,,
Emp1,164,733253289-1,Zapatillas Running Adidas Aquamarine,Moda,$332926.37,$332926.37,Adidas,Mujer,General,Q4 24,17/1/2024,Aquamarine,Calzado,,,
Emp2,165,089837862-1,Camiseta Técnica Adidas Fuscia,Running,$794732.53,$794732.53,Adidas,Mujer,General,Q1 24,25/9/2024,Fuscia,Remera,,31.0,
Emp1,166,811681489-3,Camiseta Técnica Adidas Maroon,Moda,$789627.54,$789627.54,Adidas,Hombre,Accesorios,Q2 24,9/5/2024,Maroon,Remera,,,
Emp2,167,904294916-3,Jogger Deportivo Adidas Puce,Moda,$730754.81,$730754.81,Adidas,Niños,General,Q3 24,18/11/2024,Puce,Pantalon,,,
Emp2,168,241848447-5,Remera de Compresión Under Armour Violet,Running,$980382.97,$980382.97,Under Armour,Mujer,General,Q4 24,13/3/2024,Violet,Remera,,7.0,
Emp2,169,452127711-X,Remera de Running Under Armour Pink,Moda,$222338.23,$222338.23,Under Armour,Mujer,General,Q1 24,29/4/2024,Pink,Remera,,,
Emp1,170,090523587-8,Zapatillas de Trail Adidas Maroon,Moda,$390459.40,$390459.40,Adidas,Hombre,General,Q2 24,27/5/2024,Maroon,Calzado,,,
Emp1,171,584235017-3,Botines de Fútbol Adidas Purple,Moda,$613704.51,$613704.51,Adidas,Mujer,General,Q3 24,4/10/2024,Purple,Calzado,,,
Emp2,172,294637545-5,Camiseta Técnica Adidas Indigo,Moda,$521430.66,$521430.66,Adidas,Hombre,General,Q4 24,9/1/2024,Indigo,Remera,,,
Emp2,173,683546279-5,Remera de Compresión Adidas Yellow,Moda,$748130.26,$748130.26,Adidas,Mujer,General,Q1 24,20/10/2024,Yellow,Remera,,46.0,
Emp1,174,560666449-6,Pantalón Deportivo Adidas Blue,Moda,$171569.11,$171569.11,Adidas,Mujer,General,Q2 24,5/12/2024,Blue,Pantalon,,18.0,
Emp2,175,637016159-4,Camiseta Técnica Adidas Aquamarine,Running,$320642.65,$320642.65,Adidas,Mujer,General,Q3 24,9/5/2024,Aquamarine,Remera,,,
Emp2,176,733531783-5,Remera de Compresión Adidas Puce,Moda,$415903.00,$415903.00,Adidas,Mujer,General,Q4 24,28/4/2024,Puce,Remera,,,
Emp1,177,180730720-4,Camiseta Técnica Under Armour Crimson,Moda,$693200.20,$693200.20,Under Armour,Mujer,General,Q1 24,30/8/2024,Crimson,Remera,,,
Emp1,178,250349891-4,Pantalón de Entrenamiento Under Armour Pink,Moda,$753049.44,$753049.44,Under Armour,Hombre,General,Q2 24,16/5/2024,Pink,Pantalon,,,
Emp1,179,076768216-5,Camiseta Técnica Under Armour Crimson,Moda,$955601.68,$955601.68,Under Armour,Mujer,General,Q3 24,23/7/2024,Crimson,Remera,,,
Emp1,180,692162784-5,Botines de Fútbol Adidas Blue,Running,$628110.09,$628110.09,Adidas,Mujer,General,Q4 24,16/4/2024,Blue,Calzado,,,
Emp2,181,782575938-9,Pantalón de Entrenamiento Adidas Green,Moda,$212869.66,$212869.66,Adidas,Mujer,General,Q1 24,21/11/2024,Green,Pantalon,,,
Emp1,182,958685479-5,Camiseta Técnica Under Armour Yellow,Running,$402277.94,$402277.94,Under Armour,Hombre,General,Q2 24,7/2/2024,Yellow,Remera,,,
Emp2,183,817121714-1,Pantalón Deportivo Nike Teal,Moda,$785011.51,$785011.51,Nike,Hombre,Accesorios,Q3 24,12/11/2024,Teal,Pantalon,,,
Emp1,184,244669424-1,Botines de Fútbol Adidas Green,Moda,$526037.64,$526037.64,Adidas,Hombre,General,Q4 24,31/7/2024,Green,Calzado,,,
Emp2,185,386884884-3,Zapatillas Running Adidas Blue,Moda,$165349.78,$165349.78,Adidas,Hombre,General,Q1 24,8/3/2024,Blue,Calzado,,47.0,
Emp2,186,408419913-3,Zapatillas Running Nike Khaki,Deporte,$304955.81,$304955.81,Nike,Mujer,Accesorios,Q2 24,28/9/2024,Khaki,Calzado,,,
Emp2,187,078681284-2,Pantalón Deportivo Nike Blue,Moda,$302051.95,$302051.95,Nike,Mujer,General,Q3 24,27/5/2024,Blue,Pantalon,,,
Emp2,188,823721074-3,Jogger Deportivo Nike Indigo,Moda,$60473.05,$60473.05,Nike,Mujer,General,Q4 24,25/12/2024,Indigo,Pantalon,,42.0,
Emp2,189,857158547-4,Camiseta Técnica Adidas Puce,Running,$402984.00,$402984.00,Adidas,Hombre,General,Q1 24,28/12/2024,Puce,Remera,,,
Emp1,190,872281501-5,Jogger Deportivo Under Armour Teal,Moda,$694935.86,$694935.86,Under Armour,Hombre,Accesorios,Q2 24,16/6/2024,Teal,Pantalon,,,
Emp2,191,726699571-X,Zapatillas Running Nike Mauv,Moda,$202822.09,$202822.09,Nike,Hombre,Accesorios,Q3 24,30/3/2024,Mauv,Calzado,,,
Emp2,192,866465702-5,Jogger Deportivo Nike Orange,Moda,$980366.71,$980366.71,Nike,Hombre,General,Q4 24,11/3/2024,Orange,Pantalon,,,
Emp1,193,405845895-X,Pantalón Deportivo Adidas Indigo,Moda,$894646.49,$894646.49,Adidas,Hombre,General,Q1 24,12/9/2024,Indigo,Pantalon,,,
Emp1,194,273437459-5,Jogger Deportivo Adidas Aquamarine,Moda,$191854.15,$191854.15,Adidas,Mujer,General,Q2 24,10/11/2024,Aquamarine,Pantalon,,,
Emp1,195,193712548-3,Pantalón de Entrenamiento Adidas Teal,Moda,$624749.82,$624749.82,Adidas,Mujer,General,Q3 24,9/2/2024,Teal,Pantalon,,18.0,
Emp1,196,907541846-9,Zapatillas de Basket Under Armour Fuscia,Moda,$312432.05,$312432.05,Under Armour,Mujer,General,Q4 24,23/12/2024,Fuscia,Calzado,,2.0,
Emp2,197,890285899-5,Remera de Running Adidas Turquoise,Moda,$755366.81,$755366.81,Adidas,Mujer,General,Q1 24,9/8/2024,Turquoise,Remera,,,
Emp2,198,269135979-4,Remera de Compresión Adidas Teal,Moda,$723134.49,$723134.49,Adidas,Niños,General,Q2 24,27/10/2024,Teal,Remera,,,
Emp1,199,606173966-4,Jogger Deportivo Adidas Pink,Deporte,$146291.11,$146291.11,Adidas,Mujer,General,Q3 24,1/11/2024,Pink,Pantalon,,,
Emp1,200,399803642-3,Zapatillas de Basket Adidas Green,Moda,$931587.72,$931587.72,Adidas,Hombre,Accesorios,Q4 24,9/3/2024,Green,Calzado,,19.0,
Emp1,201,755977124-6,Pantalón Deportivo Adidas Green,Moda,$978058.68,$978058.68,Adidas,Mujer,General,Q1 24,17/1/2024,Green,Pantalon,,,
Emp2,202,553442318-8,Pantalón de Entrenamiento Adidas Mauv,Moda,$139385.31,$139385.31,Adidas,Mujer,General,Q2 24,3/11/2024,Mauv,Pantalon,,18.0,
Emp2,203,087252351-9,Remera de Compresión Adidas Puce,Deporte,$176762.66,$176762.66,Adidas,Mujer,General,Q3 24,13/9/2024,Puce,Remera,,,
Emp2,204,420360169-X,Pantalón de Entrenamiento Under Armour Khaki,Moda,$118431.36,$118431.36,Under Armour,Hombre,General,Q4 24,9/11/2024,Khaki,Pantalon,,,
Emp2,205,827913321-6,Remera de Running Nike Green,Moda,$259629.73,$259629.73,Nike,Hombre,General,Q1 24,5/4/2024,Green,Remera,,,
Emp2,206,141168682-9,Jogger Deportivo Adidas Yellow,Moda,$93926.26,$93926.26,Adidas,Hombre,General,Q2 24,17/1/2024,Yellow,Pantalon,,42.0,
Emp1,207,506973277-3,Jogger Deportivo Adidas Blue,Running,$852630.51,$852630.51,Adidas,Hombre,General,Q3 24,11/8/2024,Blue,Pantalon,,,
Emp1,208,146611950-0,Remera de Running Nike Indigo,Running,$200829.78,$200829.78,Nike,Mujer,General,Q4 24,26/4/2024,Indigo,Remera,,,
Emp2,209,010331096-7,Botines de Fútbol Adidas Fuscia,Moda,$552079.64,$552079.64,Adidas,Hombre,Accesorios,Q1 24,23/6/2024,Fuscia,Calzado,,,
Emp1,210,757998331-1,Jogger Deportivo Adidas Indigo,Moda,$381473.82,$381473.82,Adidas,Niños,General,Q2 24,17/5/2024,Indigo,Pantalon,,6.0,
Emp2,211,035863496-2,Remera de Compresión Adidas Crimson,Moda,$401549.94,$401549.94,Adidas,Niños,General,Q3 24,5/4/2024,Crimson,Remera,,,
Emp2,212,779521854-7,Pantalón de Entrenamiento Adidas Goldenrod,Moda,$236551.09,$236551.09,Adidas,Hombre,General,Q4 24,25/10/2024,Goldenrod,Pantalon,,36.0,
Emp1,213,525542426-9,Pantalón Deportivo Adidas Indigo,Moda,$289446.51,$289446.51,Adidas,Mujer,General,Q1 24,11/7/2024,Indigo,Pantalon,,42.0,
Emp1,214,893908967-7,Remera de Compresión Adidas Yellow,Moda,$841729.66,$841729.66,Adidas,Mujer,General,Q2 24,15/8/2024,Yellow,Remera,,,
Emp1,215,517918994-2,Remera de Running Under Armour Violet,Deporte,$692210.82,$692210.82,Under Armour,Mujer,General,Q3 24,19/12/2024,Violet,Remera,,,
Emp1,216,693942575-6,Pantalón Deportivo Adidas Aquamarine,Running,$508953.45,$508953.45,Adidas,Hombre,General,Q4 24,8/3/2024,Aquamarine,Pantalon,,,
Emp1,217,303877799-4,Zapatillas de Trail Adidas Goldenrod,Running,$750410.01,$750410.01,Adidas,Niños,General,Q1 24,27/10/2024,Goldenrod,Calzado,,,
Emp1,218,011441883-7,Jogger Deportivo Under Armour Aquamarine,Moda,$141253.21,$141253.21,Under Armour,Hombre,General,Q2 24,5/1/2024,Aquamarine,Pantalon,,,
Emp2,219,891038288-0,Zapatillas de Trail Adidas Orange,Moda,$222649.16,$222649.16,Adidas,Niños,General,Q3 24,24/1/2024,Orange,Calzado,,,
Emp1,220,293954879-X,Botines de Fútbol Nike Purple,Moda,$233527.79,$233527.79,Nike,Niños,Accesorios,Q4 24,27/3/2024,Purple,Calzado,,,
Emp2,221,192941076-X,Remera de Compresión Adidas Pink,Moda,$259862.90,$259862.90,Adidas,Mujer,Accesorios,Q1 24,19/7/2024,Pink,Remera,,,
Emp2,222,873786338-X,Botines de Fútbol Adidas Violet,Moda,$931073.04,$931073.04,Adidas,Hombre,General,Q2 24,13/6/2024,Violet,Calzado,,10.0,
Emp2,223,643045678-1,Botines de Fútbol Adidas Pink,Moda,$259235.36,$259235.36,Adidas,Hombre,General,Q3 24,31/1/2024,Pink,Calzado,,35.0,
Emp1,224,421694389-6,Pantalón Deportivo Adidas Blue,Moda,$376872.16,$376872.16,Adidas,Hombre,General,Q4 24,27/1/2024,Blue,Pantalon,,,
Emp2,225,073619468-1,Pantalón Deportivo Adidas Fuscia,Moda,$585722.77,$585722.77,Adidas,Hombre,General,Q1 24,8/9/2024,Fuscia,Pantalon,,,
Emp1,226,834697427-2,Zapatillas de Basket Adidas Aquamarine,Moda,$756065.04,$756065.04,Adidas,Niños,General,Q2 24,17/2/2024,Aquamarine,Calzado,,,
Emp1,227,454621536-3,Jogger Deportivo Nike Puce,Moda,$68138.53,$68138.53,Nike,Hombre,General,Q3 24,6/5/2024,Puce,Pantalon,,,
Emp2,228,251347423-6,Camiseta Técnica Adidas Mauv,Running,$389323.53,$389323.53,Adidas,Mujer,General,Q4 24,10/5/2024,Mauv,Remera,,,
Emp2,229,221780082-5,Botines de Fútbol Adidas Blue,Moda,$733936.89,$733936.89,Adidas,Niños,General,Q1 24,10/8/2024,Blue,Calzado,,,
Emp1,230,903227982-3,Remera de Compresión Under Armour Teal,Moda,$708329.49,$708329.49,Under Armour,Niños,General,Q2 24,11/6/2024,Teal,Remera,,,
Emp2,231,018637083-0,Camiseta Técnica Nike Yellow,Deporte,$459438.87,$459438.87,Nike,Hombre,General,Q3 24,24/12/2024,Yellow,Remera,,1.0,
Emp2,232,119732759-2,Botines de Fútbol Adidas Turquoise,Running,$84118.09,$84118.09,Adidas,Hombre,General,Q4 24,23/1/2024,Turquoise,Calzado,,15.0,
Emp2,233,747972270-2,Zapatillas de Trail Adidas Crimson,Moda,$835596.12,$835596.12,Adidas,Mujer,General,Q1 24,3/3/2024,Crimson,Calzado,,6.0,
Emp1,234,738040988-3,Remera de Running Adidas Khaki,Moda,$184925.88,$184925.88,Adidas,Mujer,General,Q2 24,3/10/2024,Khaki,Remera,,,
Emp2,235,252218719-8,Zapatillas de Basket Adidas Indigo,Running,$933152.59,$933152.59,Adidas,Hombre,General,Q3 24,1/5/2024,Indigo,Calzado,,,
Emp1,236,508506783-5,Zapatillas Running Under Armour Red,Moda,$835939.39,$835939.39,Under Armour,Hombre,General,Q4 24,13/3/2024,Red,Calzado,,31.0,
Emp1,237,066958807-5,Jogger Deportivo Adidas Khaki,Moda,$747077.27,$747077.27,Adidas,Mujer,Accesorios,Q1 24,6/2/2024,Khaki,Pantalon,,,
Emp1,238,493585085-X,Remera de Running Adidas Purple,Moda,$396221.44,$396221.44,Adidas,Hombre,Accesorios,Q2 24,14/2/2024,Purple,Remera,,,
Emp1,239,128849286-3,Jogger Deportivo Under Armour Aquamarine,Moda,$786251.22,$786251.22,Under Armour,Hombre,General,Q3 24,18/8/2024,Aquamarine,Pantalon,,,
Emp1,240,927933185-X,Camiseta Técnica Nike Purple,Running,$762219.02,$762219.02,Nike,Mujer,General,Q4 24,26/6/2024,Purple,Remera,,,
Emp1,241,617810821-4,Zapatillas Running Adidas Teal,Moda,$76123.14,$76123.14,Adidas,Hombre,General,Q1 24,6/5/2024,Teal,Calzado,,,
Emp1,242,978047537-0,Pantalón Deportivo Adidas Mauv,Running,$546293.97,$546293.97,Adidas,Mujer,General,Q2 24,29/6/2024,Mauv,Pantalon,,,
Emp2,243,430731306-2,Camiseta Técnica Under Armour Fuscia,Running,$239494.27,$239494.27,Under Armour,Mujer,General,Q3 24,11/2/2024,Fuscia,Remera,,,
Emp1,244,060923148-0,Jogger Deportivo Adidas Khaki,Moda,$391582.23,$391582.23,Adidas,Mujer,Accesorios,Q4 24,6/10/2024,Khaki,Pantalon,,,
Emp2,245,295532841-3,Pantalón de Entrenamiento Nike Green,Moda,$464560.77,$464560.77,Nike,Hombre,Accesorios,Q1 24,19/3/2024,Green,Pantalon,,,
Emp1,246,608854697-2,Pantalón Deportivo Adidas Violet,Moda,$779166.05,$779166.05,Adidas,Mujer,Accesorios,Q2 24,10/3/2024,Violet,Pantalon,,21.0,
Emp2,247,923104552-0,Botines de Fútbol Adidas Pink,Moda,$538902.47,$538902.47,Adidas,Hombre,General,Q3 24,6/10/2024,Pink,Calzado,,,
Emp1,248,405532765-X,Jogger Deportivo Adidas Aquamarine,Running,$390642.62,$390642.62,Adidas,Mujer,General,Q4 24,20/5/2024,Aquamarine,Pantalon,,,
Emp1,249,418724456-5,Remera de Compresión Adidas Puce,Moda,$762886.57,$762886.57,Adidas,Hombre,General,Q1 24,5/5/2024,Puce,Remera,,,
Emp1,250,572966901-1,Pantalón de Entrenamiento Adidas Indigo,Moda,$175727.37,$175727.37,Adidas,Hombre,General,Q2 24,3/1/2024,Indigo,Pantalon,,,
Emp1,251,327794334-8,Zapatillas de Trail Nike Blue,Moda,$26427.48,$26427.48,Nike,Hombre,Accesorios,Q3 24,8/10/2024,Blue,Calzado,,,
Emp1,252,541686114-2,Remera de Compresión Under Armour Turquoise,Moda,$658814.32,$658814.32,Under Armour,Mujer,Accesorios,Q4 24,26/9/2024,Turquoise,Remera,,,
Emp1,253,997971905-2,Remera de Compresión Under Armour Pink,Deporte,$692250.97,$692250.97,Under Armour,Hombre,Accesorios,Q1 24,12/6/2024,Pink,Remera,,,
Emp2,254,538835080-0,Camiseta Técnica Nike Teal,Moda,$232176.07,$232176.07,Nike,Hombre,General,Q2 24,24/5/2024,Teal,Remera,,,
Emp1,255,620213185-3,Remera de Running Nike Yellow,Moda,$343010.87,$343010.87,Nike,Mujer,General,Q3 24,22/12/2024,Yellow,Remera,,24.0,
Emp2,256,119756408-X,Remera de Running Under Armour Puce,Moda,$471383.11,$471383.11,Under Armour,Hombre,Accesorios,Q4 24,27/10/2024,Puce,Remera,,2.0,
Emp1,257,371248956-0,Zapatillas Running Nike Aquamarine,Moda,$401040.48,$401040.48,Nike,Mujer,General,Q1 24,23/12/2024,Aquamarine,Calzado,,,
Emp2,258,585021356-2,Remera de Running Nike Puce,Moda,$476022.48,$476022.48,Nike,Hombre,General,Q2 24,30/5/2024,Puce,Remera,,,
Emp1,259,763363258-5,Remera de Running Adidas Fuscia,Moda,$641355.07,$641355.07,Adidas,Niños,General,Q3 24,17/1/2024,Fuscia,Remera,,,
Emp1,260,892480164-3,Zapatillas de Trail Nike Blue,Moda,$314468.90,$314468.90,Nike,Mujer,General,Q4 24,30/11/2024,Blue,Calzado,,,
Emp2,261,957738886-8,Jogger Deportivo Nike Fuscia,Moda,$57627.63,$57627.63,Nike,Mujer,General,Q1 24,1/6/2024,Fuscia,Pantalon,,,
Emp2,262,007590009-2,Zapatillas Running Nike Mauv,Moda,$919347.47,$919347.47,Nike,Mujer,General,Q2 24,10/10/2024,Mauv,Calzado,,,
Emp1,263,093818908-5,Pantalón Deportivo Adidas Indigo,Moda,$963771.74,$963771.74,Adidas,Mujer,General,Q3 24,13/10/2024,Indigo,Pantalon,,,
Emp1,264,667621962-X,Jogger Deportivo Adidas Pink,Running,$434820.71,$434820.71,Adidas,Mujer,General,Q4 24,30/3/2024,Pink,Pantalon,,42.0,
Emp1,265,171387664-7,Zapatillas Running Nike Blue,Running,$79397.88,$79397.88,Nike,Mujer,General,Q1 24,27/9/2024,Blue,Calzado,,,
Emp2,266,426832686-3,Zapatillas de Basket Nike Green,Running,$201843.58,$201843.58,Nike,Mujer,General,Q2 24,26/9/2024,Green,Calzado,,,
Emp2,267,931905770-2,Jogger Deportivo Adidas Pink,Moda,$175388.30,$175388.30,Adidas,Niños,General,Q3 24,9/1/2024,Pink,Pantalon,,,
Emp1,268,534295926-8,Pantalón de Entrenamiento Adidas Maroon,Running,$561156.73,$561156.73,Adidas,Niños,General,Q4 24,16/3/2024,Maroon,Pantalon,,,
Emp1,269,568292740-0,Remera de Running Adidas Indigo,Moda,$925820.47,$925820.47,Adidas,Hombre,General,Q1 24,16/4/2024,Indigo,Remera,,43.0,
Emp2,270,002229060-5,Remera de Running Adidas Green,Running,$375880.25,$375880.25,Adidas,Hombre,General,Q2 24,16/5/2024,Green,Remera,,,
Emp2,271,799527410-6,Remera de Running Nike Mauv,Moda,$303742.48,$303742.48,Nike,Mujer,General,Q3 24,29/3/2024,Mauv,Remera,,,
Emp2,272,580532482-2,Pantalón de Entrenamiento Under Armour Blue,Moda,$968695.24,$968695.24,Under Armour,Mujer,Accesorios,Q4 24,24/7/2024,Blue,Pantalon,,,
Emp2,273,517642194-1,Zapatillas Running Adidas Fuscia,Deporte,$366072.72,$366072.72,Adidas,Hombre,Accesorios,Q1 24,27/1/2024,Fuscia,Calzado,,,
Emp2,274,798902029-7,Zapatillas de Basket Nike Crimson,Moda,$633932.87,$633932.87,Nike,Hombre,General,Q2 24,1/4/2024,Crimson,Calzado,,,
Emp1,275,841448181-7,Pantalón de Entrenamiento Nike Puce,Moda,$903983.73,$903983.73,Nike,Mujer,General,Q3 24,14/8/2024,Puce,Pantalon,,21.0,
Emp1,276,745013689-9,Remera de Compresión Adidas Fuscia,Moda,$821073.66,$821073.66,Adidas,Niños,General,Q4 24,1/11/2024,Fuscia,Remera,,,
Emp1,277,927224564-8,Zapatillas de Trail Adidas Blue,Moda,$950519.41,$950519.41,Adidas,Hombre,General,Q1 24,7/2/2024,Blue,Calzado,,,
Emp1,278,649126192-1,Jogger Deportivo Adidas Crimson,Moda,$415827.70,$415827.70,Adidas,Mujer,General,Q2 24,27/8/2024,Crimson,Pantalon,,,
Emp1,279,304987651-4,Jogger Deportivo Adidas Indigo,Running,$630916.91,$630916.91,Adidas,Hombre,General,Q3 24,24/11/2024,Indigo,Pantalon,,,
Emp2,280,626407121-8,Remera de Running Adidas Aquamarine,Running,$432905.18,$432905.18,Adidas,Niños,General,Q4 24,17/12/2024,Aquamarine,Remera,,,
Emp1,281,490848508-9,Remera de Compresión Adidas Fuscia,Moda,$530032.12,$530032.12,Adidas,Hombre,General,Q1 24,5/6/2024,Fuscia,Remera,,,
Emp1,282,669312070-9,Jogger Deportivo Adidas Goldenrod,Running,$290451.50,$290451.50,Adidas,Hombre,General,Q2 24,13/8/2024,Goldenrod,Pantalon,,,
Emp1,283,257416095-9,Botines de Fútbol Adidas Pink,Running,$1095.92,$1095.92,Adidas,Hombre,General,Q3 24,27/9/2024,Pink,Calzado,,43.0,
Emp1,284,755920237-3,Zapatillas de Basket Adidas Violet,Moda,$172762.52,$172762.52,Adidas,Hombre,General,Q4 24,10/10/2024,Violet,Calzado,,,
Emp1,285,839582008-9,Jogger Deportivo Adidas Aquamarine,Moda,$501445.27,$501445.27,Adidas,Mujer,General,Q1 24,7/6/2024,Aquamarine,Pantalon,,22.0,
Emp1,286,557105704-1,Camiseta Técnica Under Armour Turquoise,Moda,$202981.71,$202981.71,Under Armour,Hombre,General,Q2 24,15/10/2024,Turquoise,Remera,,,
Emp2,287,928248090-9,Zapatillas Running Adidas Khaki,Moda,$327840.62,$327840.62,Adidas,Hombre,General,Q3 24,19/5/2024,Khaki,Calzado,,,
Emp1,288,312849120-8,Jogger Deportivo Adidas Mauv,Moda,$770863.43,$770863.43,Adidas,Mujer,General,Q4 24,22/1/2024,Mauv,Pantalon,,8.0,
Emp2,289,495267393-6,Jogger Deportivo Adidas Fuscia,Moda,$828688.75,$828688.75,Adidas,Hombre,General,Q1 24,12/11/2024,Fuscia,Pantalon,,,
Emp2,290,127604098-9,Zapatillas Running Nike Orange,Moda,$381990.50,$381990.50,Nike,Mujer,General,Q2 24,6/3/2024,Orange,Calzado,,,
Emp2,291,311063879-7,Botines de Fútbol Adidas Mauv,Deporte,$787949.16,$787949.16,Adidas,Mujer,General,Q3 24,5/5/2024,Mauv,Calzado,,10.0,
Emp1,292,871277353-0,Jogger Deportivo Nike Orange,Running,$757383.35,$757383.35,Nike,Mujer,General,Q4 24,18/7/2024,Orange,Pantalon,,19.0,
Emp1,293,808610343-9,Pantalón de Entrenamiento Adidas Goldenrod,Moda,$754059.59,$754059.59,Adidas,Hombre,General,Q1 24,14/2/2024,Goldenrod,Pantalon,,50.0,
Emp1,294,429740868-6,Botines de Fútbol Adidas Fuscia,Moda,$891190.85,$891190.85,Adidas,Hombre,General,Q2 24,3/9/2024,Fuscia,Calzado,,,
Emp2,295,196465960-4,Remera de Running Adidas Crimson,Moda,$249334.98,$249334.98,Adidas,Hombre,General,Q3 24,19/8/2024,Crimson,Remera,,,
Emp2,296,936691506-X,Jogger Deportivo Under Armour Violet,Moda,$789290.43,$789290.43,Under Armour,Hombre,General,Q4 24,4/11/2024,Violet,Pantalon,,33.0,
Emp1,297,973357752-9,Jogger Deportivo Nike Crimson,Running,$319945.66,$319945.66,Nike,Mujer,General,Q1 24,16/3/2024,Crimson,Pantalon,,,
Emp2,298,997992076-9,Botines de Fútbol Nike Yellow,Moda,$611457.19,$611457.19,Nike,Mujer,Accesorios,Q2 24,31/8/2024,Yellow,Calzado,,,
Emp1,299,699949978-0,Jogger Deportivo Under Armour Crimson,Moda,$128065.62,$128065.62,Under Armour,Niños,General,Q3 24,18/2/2024,Crimson,Pantalon,,,
Emp2,300,808934439-9,Jogger Deportivo Nike Purple,Moda,$415542.46,$415542.46,Nike,Hombre,General,Q4 24,17/4/2024,Purple,Pantalon,,,
Emp1,301,945158571-0,Zapatillas de Trail Under Armour Turquoise,Moda,$86326.21,$86326.21,Under Armour,Hombre,General,Q1 24,13/7/2024,Turquoise,Calzado,,,
Emp1,302,409045606-1,Zapatillas de Trail Adidas Maroon,Moda,$179660.13,$179660.13,Adidas,Mujer,Accesorios,Q2 24,20/10/2024,Maroon,Calzado,,38.0,
Emp1,303,399991862-4,Jogger Deportivo Adidas Mauv,Moda,$149294.99,$149294.99,Adidas,Hombre,General,Q3 24,3/1/2024,Mauv,Pantalon,,,
Emp2,304,204202973-4,Camiseta Técnica Nike Pink,Moda,$245758.98,$245758.98,Nike,Mujer,General,Q4 24,20/9/2024,Pink,Remera,,,
Emp1,305,920504355-9,Remera de Compresión Nike Teal,Moda,$357465.35,$357465.35,Nike,Mujer,General,Q1 24,5/4/2024,Teal,Remera,,43.0,
Emp2,306,867955890-7,Pantalón de Entrenamiento Nike Puce,Moda,$745312.22,$745312.22,Nike,Hombre,General,Q2 24,1/5/2024,Puce,Pantalon,,,
Emp1,307,848464650-5,Zapatillas Running Adidas Turquoise,Running,$499339.74,$499339.74,Adidas,Hombre,Accesorios,Q3 24,1/9/2024,Turquoise,Calzado,,,
Emp2,308,844518930-1,Jogger Deportivo Nike Fuscia,Moda,$77294.50,$77294.50,Nike,Niños,General,Q4 24,22/6/2024,Fuscia,Pantalon,,37.0,
Emp2,309,849351561-2,Camiseta Técnica Nike Mauv,Running,$9335.57,$9335.57,Nike,Niños,General,Q1 24,8/3/2024,Mauv,Remera,,,
Emp2,310,108101142-4,Zapatillas Running Adidas Blue,Moda,$242969.48,$242969.48,Adidas,Hombre,General,Q2 24,1/4/2024,Blue,Calzado,,,
Emp2,311,614259592-1,Pantalón Deportivo Under Armour Fuscia,Moda,$834763.48,$834763.48,Under Armour,Hombre,General,Q3 24,23/9/2024,Fuscia,Pantalon,,,
Emp2,312,558961829-0,Zapatillas Running Nike Purple,Running,$489819.68,$489819.68,Nike,Mujer,General,Q4 24,11/4/2024,Purple,Calzado,,,
Emp1,313,079467763-0,Zapatillas de Trail Adidas Purple,Moda,$448891.92,$448891.92,Adidas,Niños,General,Q1 24,2/4/2024,Purple,Calzado,,,
Emp1,314,030235506-5,Zapatillas de Basket Under Armour Indigo,Moda,$581978.80,$581978.80,Under Armour,Mujer,General,Q2 24,26/10/2024,Indigo,Calzado,,,
Emp2,315,883236553-7,Pantalón Deportivo Under Armour Mauv,Moda,$192665.99,$192665.99,Under Armour,Mujer,General,Q3 24,2/8/2024,Mauv,Pantalon,,17.0,
Emp2,316,313871066-2,Pantalón Deportivo Under Armour Yellow,Moda,$436442.62,$436442.62,Under Armour,Niños,General,Q4 24,5/9/2024,Yellow,Pantalon,,42.0,
Emp2,317,864116397-2,Camiseta Técnica Adidas Blue,Moda,$723173.39,$723173.39,Adidas,Hombre,General,Q1 24,17/1/2024,Blue,Remera,,,
Emp2,318,428225710-5,Jogger Deportivo Adidas Crimson,Moda,$265667.93,$265667.93,Adidas,Mujer,Accesorios,Q2 24,10/6/2024,Crimson,Pantalon,,,
Emp1,319,310459739-1,Camiseta Técnica Adidas Khaki,Moda,$139177.81,$139177.81,Adidas,Mujer,General,Q3 24,15/4/2024,Khaki,Remera,,,
Emp1,320,984614402-4,Camiseta Técnica Nike Maroon,Moda,$671432.01,$671432.01,Nike,Hombre,Accesorios,Q4 24,10/9/2024,Maroon,Remera,,,
Emp1,321,634418957-6,Camiseta Técnica Nike Yellow,Moda,$560446.10,$560446.10,Nike,Mujer,General,Q1 24,20/1/2024,Yellow,Remera,,30.0,
Emp2,322,187861980-2,Remera de Compresión Adidas Turquoise,Moda,$523235.92,$523235.92,Adidas,Mujer,General,Q2 24,15/5/2024,Turquoise,Remera,,,
Emp1,323,068141498-7,Remera de Compresión Adidas Crimson,Deporte,$388066.30,$388066.30,Adidas,Mujer,Accesorios,Q3 24,28/6/2024,Crimson,Remera,,31.0,
